NLSitNummer,DatumFileBegin,DatumFileEind,TijdFileBegin,TijdFileEind,FileZwaarte,GemLengte,FileDuur,HectometerKop,HectometerStaart,RouteLet,RouteNum,RouteOms,hectometreringsrichting,KopWegvakVan,KopWegvakNaar,TrajVan,TrajNaar,OorzaakGronddetail,OorzaakVerloop,OorzaakCodeVerloop,OorzaakCode,Oorzaak_1,Oorzaak_2,Oorzaak_3,Oorzaak_4
2790688,10/27/2020,10/27/2020,6:52:00,7:00:18,"16,600","2,000,000","8,300","46,5","48,5",A,1,A1,aflopend,Hoevelaken,Hoevelaken,Apeldoorn,Amsterdam,Ongeval op aansluitende weg,"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval op aansluitende weg 8]","[000], [N65]",N65,Ongeval op aansluitende weg,Ongeval elders,Ongeval,Ongeval
2790751,10/27/2020,10/27/2020,15:44:00,15:46:07,"4,233","2,000,000","2,117","59,9","57,9",A,2,A2,oplopend,Leidsche Rijntunnel,Utrecht-Langerak,Amsterdam,'s-Hertogenbosch,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 2],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790708,10/27/2020,10/27/2020,8:22:00,8:29:03,"14,100","2,000,000","7,050","33,7","31,7",A,20,A20,oplopend,Rotterdam-Crooswijk,Terbregseplein,Hoek van Holland,Gouda,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 7],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790770,10/27/2020,10/27/2020,18:00:00,18:05:04,"10,133","2,000,000","5,067","73,1","71,1",A,6,A6,oplopend,Almere-Oostvaarders,Lelystad,Muiden,Lelystad,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790746,10/27/2020,10/27/2020,15:27:00,16:31:27,"249,433","3,870,184","64,450","62,2","58,2",A,12,A12,oplopend,Hoograven,Lunetten,Den Haag,Utrecht,Voorwerpen op de weg,"[Geen oorzaakcode opgegeven door VWM 0], [Voorwerpen op de weg 59], [Geen oorzaakcode opgegeven door VWM 5]","[000], [OBR], [000]",OBR,Voorwerpen op de weg,Lading op de weg,Incident (obstakel op de weg),Incident
2790753,10/27/2020,10/27/2020,16:12:00,16:21:03,"21,283","2,351,750","9,050","20,8","16,8",A,4,A4,oplopend,Ringvaart-Aquaduct,Roelofarendsveen,Amsterdam,Den Haag,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 9],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790757,10/27/2020,10/27/2020,16:25:00,16:26:05,"2,167","2,000,000","1,083","20,0","18,0",A,4,A4,oplopend,Ringvaart-Aquaduct,Roelofarendsveen,Amsterdam,Den Haag,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790711,10/27/2020,10/27/2020,8:42:00,9:13:38,"72,250","2,283,983","31,633","32,5","30,5",A,16,A16,oplopend,Hendrik-Ido-Ambacht,Zwijndrecht,Rotterdam,Breda,Te ho(o)g(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 0], [Te ho(o)g(e) voertuig(en) 31]","[000], [OHV]",OHV,Te ho(o)g(e) voertuig(en),Hoogtemelding,Incident,Incident
2790695,10/27/2020,10/27/2020,7:33:00,7:48:05,"38,183","2,531,492","15,083","44,9","46,9",A,20,A20,aflopend,Moordrecht,Nieuwerkerk Aan Den Ijssel,Gouda,Hoek van Holland,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 15],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790702,10/27/2020,10/27/2020,7:53:00,8:21:03,"98,100","3,497,326","28,050","27,3","29,3",A,1,A1,aflopend,Hotel/Restaurant De Witte Bergen,Hilversum-Noord,Amersfoort,Amsterdam,Ongeval (met opruim/berging),"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 6], [Opruimingswerkzaamheden 6], [Opruimwerkzaamheden 5], [Eerder(e) ongeval(len) 10]","[000], [ACI], [OCL], [CLE], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2790737,10/27/2020,10/27/2020,14:43:00,15:33:27,"145,950","2,892,963","50,450","34,5","26,1",A,58,A58,oplopend,Moergestel,De Baars,Eindhoven,Breda,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 32], [Eerder pechgeval 17]","[000], [HBD], [M13]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2790879,10/28/2020,10/28/2020,16:09:00,17:30:31,"193,700","2,376,201","81,517","103,0","100,0",A,59,A59,oplopend,Hooipolder,Waspik,Zonzeel,'s-Hertogenbosch,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 82],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790401,10/23/2020,10/23/2020,16:34:00,16:41:05,"17,233","2,432,941","7,083","50,7","53,7",A,58,A58,aflopend,Bavel,Tilburg-Reeshof,Breda,Tilburg,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 7],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790512,10/24/2020,10/24/2020,17:55:00,18:48:27,"106,900","2,000,000","53,450","51,2","49,2",N,59,N59,oplopend,Den Bommel,Hellegatsplein,Zierikzee,Hellegatsplein,Ongeval(len),"[Ongeval(len) 23], [Afremmend verkeer als gevolg van kijkers naar  ongeval(len) 30]","[ACI], [YDO]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2790242,10/22/2020,10/22/2020,16:43:00,16:49:06,"12,200","2,000,000","6,100","94,0","96,0",A,15,A15,aflopend,Gorinchem,Hardinxveld-Giessendam,Gorinchem,Ridderkerk,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 6],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790503,10/24/2020,10/24/2020,14:35:00,14:45:14,"28,700","2,804,560","10,233","2,9","5,9",A,10,A10,aflopend,Brug Over Het Noordhollands Kanaal,Landsmeer,Watergraafsmeer,Coenplein,Defect(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 1], [Defect(e) voertuig(en) 3], [Eerder pechgeval 6]","[000], [BKD], [M13]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2790404,10/23/2020,10/23/2020,16:38:00,16:39:05,"5,417","5,000,000","1,083","48,6","43,6",A,1,A1,oplopend,Hoevelaken,Barneveld,Amsterdam,Apeldoorn,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790360,10/23/2020,10/23/2020,14:29:00,14:36:04,"14,133","2,000,000","7,067","44,3","42,3",A,20,A20,oplopend,Nieuwerkerk Aan Den Ijssel,Moordrecht,Hoek van Holland,Gouda,File buiten spits (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 7],[000],3,File buiten spits (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790213,10/22/2020,10/22/2020,15:00:00,15:08:06,"24,300","3,000,000","8,100","55,8","52,8",A,4,A4,oplopend,Gaag-Aquaduct,Delft,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 8],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790318,10/23/2020,10/23/2020,11:34:00,11:39:49,"11,633","2,000,000","5,817","72,1","70,1",A,4,A4,oplopend,Pernis,Benelux,Den Haag,Rotterdam,Te ho(o)g(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 1], [Te ho(o)g(e) voertuig(en) 5], [Geen oorzaakcode opgegeven door VWM 0]","[000], [OHV], [000]",OHV,Te ho(o)g(e) voertuig(en),Hoogtemelding,Incident,Incident
2790374,10/23/2020,10/23/2020,15:41:00,15:42:05,"2,167","2,000,000","1,083","77,4","75,4",A,15,A15,oplopend,Alblasserdam,Papendrecht,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790246,10/22/2020,10/22/2020,17:34:00,17:37:04,"6,133","2,000,000","3,067","92,7","94,7",A,15,A15,aflopend,Gorinchem,Hardinxveld-Giessendam,Gorinchem,Ridderkerk,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 3],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790380,10/23/2020,10/23/2020,15:51:00,17:48:04,"304,150","2,598,092","117,067","45,3","47,3",A,20,A20,aflopend,Moordrecht,Nieuwerkerk Aan Den Ijssel,Gouda,Hoek van Holland,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 117],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790386,10/23/2020,10/23/2020,15:57:00,16:40:05,"92,167","2,139,265","43,083","25,9","23,9",N,325,N325,oplopend,Westervoort,Presikhaaf,Arnhem,Arnhem Velperbroek,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 43],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2790335,10/23/2020,10/23/2020,12:43:00,13:31:52,"231,067","4,728,513","48,867","50,8","48,8",A,1,A1,oplopend,Hoevelaken,Barneveld,Amsterdam,Apeldoorn,Defecte vrachtwagen (met opruim/berging),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 39], [Opruimingswerkzaamheden 8], [Opruimwerkzaamheden 1], [Geen oorzaakcode opgegeven door VWM 0]","[000], [HBD], [OCL], [CLE], [000]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2790192,10/22/2020,10/22/2020,11:42:00,13:11:18,"302,683","3,389,511","89,300","2,3","4,3",A,28,A28,aflopend,Den Dolder,Utrecht-De Uithof,Amersfoort,Utrecht,Ongeval met vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval met vrachtwagen(s) 83], [Eerder(e) ongeval(len) 5]","[000], [ACH], [ACA]",ACH,Ongeval met vrachtwagen(s),Ongeval vrachtwagen,Ongeval,Ongeval
2790334,10/23/2020,10/23/2020,12:43:00,12:59:04,"38,183","2,376,556","16,067","11,4","14,4",A,22,A22,aflopend,Velsertunnel,Ijmuiden,Beverwijk,Velsen,Ongeval (met opruim/berging),"[Geen oorzaakcode opgegeven door VWM 1], [Opruimingswerkzaamheden 10], [Eerder(e) ongeval(len) 5]","[000], [OCL], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2790351,10/23/2020,10/23/2020,14:08:00,14:35:51,"82,233","2,952,723","27,850","58,6","56,6",A,12,A12,oplopend,Hoograven,Lunetten,Den Haag,Utrecht,Voorwerpen op de weg,"[Geen oorzaakcode opgegeven door VWM 1], [Voorwerpen op de weg 9], [Geen oorzaakcode opgegeven door VWM 18]","[000], [OBR], [000]",OBR,Voorwerpen op de weg,Lading op de weg,Incident (obstakel op de weg),Incident
2790347,10/23/2020,10/23/2020,14:01:00,14:11:56,"22,433","2,051,829","10,933","44,5","46,5",A,27,A27,aflopend,Lexmond,Noordeloos,Utrecht,Gorinchem,Defect(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 1], [Defect(e) voertuig(en) 1], [Eerder pechgeval 9]","[000], [BKD], [M13]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2790362,10/23/2020,10/23/2020,14:36:00,14:42:17,"12,567","2,000,000","6,283","20,5","18,5",A,27,A27,oplopend,Hooipolder,Geertruidenberg,Breda,Gorinchem,Defect(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 1], [Defect(e) voertuig(en) 5], [Eerder pechgeval 0]","[000], [BKD], [M13]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2790399,10/23/2020,10/23/2020,16:23:00,16:59:37,"103,167","2,817,478","36,617","161,4","159,4",A,2,A2,oplopend,Batadorp,De Hogt,Eindhoven,Maastricht-Noord,Ongeval(len),"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 13], [Eerder(e) ongeval(len) 0], [Ongeval(len) 22]","[000], [ACI], [ACA], [ACI]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2790286,10/23/2020,10/23/2020,6:37:00,7:05:31,"75,033","2,631,210","28,517","77,1","79,1",A,15,A15,aflopend,Papendrecht,Alblasserdam,Gorinchem,Ridderkerk,Spitsfile (geen oorzaak gemeld),"[Geen oorzaakcode opgegeven door VWM 0], [Te ho(o)g(e) voertuig(en) 0], [Geen oorzaakcode opgegeven door VWM 28]","[000], [OHV], [000]",1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789252,10/14/2020,10/14/2020,16:06:00,16:36:06,"63,017","2,093,577","30,100","45,8","47,8",A,15,A15,aflopend,Botlektunnel,Spijkenisse,Ridderkerk,Europoort,Ongeval (met opruim/berging),"[Ongeval(len) 11], [Opruimingswerkzaamheden 14], [Eerder(e) ongeval(len) 4]","[ACI], [OCL], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2789401,10/15/2020,10/15/2020,15:58:00,16:21:56,"50,967","2,129,527","23,933","71,1","74,1",A,1,A1,aflopend,Hoenderloo,Kootwijk,Apeldoorn,Amersfoort,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 9], [Eerder pechgeval 14]","[000], [HBD], [M13]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2789560,10/16/2020,10/16/2020,15:49:00,16:09:06,"63,100","3,139,304","20,100","82,3","80,3",A,15,A15,oplopend,Sliedrecht-West,Sliedrecht-Oost,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 20],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789302,10/14/2020,10/14/2020,18:20:00,19:16:56,"214,967","3,775,761","56,933","118,8","116,8",A,59,A59,oplopend,Drunen-West,Heusden,Zonzeel,'s-Hertogenbosch,Ongeval(len),[Ongeval(len) 57],[ACI],ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2789628,10/16/2020,10/16/2020,17:28:00,17:46:59,"37,967","2,000,000","18,983","95,1","93,1",A,15,A15,oplopend,Gorinchem,Gorinchem,Ridderkerk,Gorinchem,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 18], [Geen oorzaakcode opgegeven door VWM 0]","[000], [HBD], [000]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2789552,10/16/2020,10/16/2020,15:32:00,15:36:05,"8,167","2,000,000","4,083","14,7","12,7",N,14,N14,oplopend,Leidschendam,A4: Leidschendam,Den Haag,Leidschendam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 4],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789238,10/14/2020,10/14/2020,15:22:00,15:49:21,"54,700","2,000,000","27,350","19,4","21,4",A,10,A10,aflopend,Amsterdam-Oud Zuid,Amsterdam-Rivierenbuurt,Coenplein,Amstel,Defect(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 2], [Defect(e) voertuig(en) 10], [Eerder pechgeval 16]","[000], [BKD], [M13]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2789270,10/14/2020,10/14/2020,16:31:00,16:52:05,"102,433","4,858,498","21,083","43,4","41,4",A,15,A15,oplopend,Rozenburg-Centrum,Havens 4000-5200,Europoort,Ridderkerk,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 21],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789265,10/14/2020,10/14/2020,16:17:00,17:04:05,"121,250","2,575,221","47,083","50,3","48,3",A,4,A4,oplopend,Rijswijk-Plaspoelpolder,Rijswijk,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 47],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789292,10/14/2020,10/14/2020,17:27:00,17:31:04,"8,133","2,000,000","4,067","82,4","80,4",A,15,A15,oplopend,Sliedrecht-West,Sliedrecht-Oost,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 4],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789388,10/15/2020,10/15/2020,13:49:00,18:19:17,"540,567","2,000,000","270,283","27,0","25,0",A,76,A76,oplopend,Nederland,Duitsland,Brussel,Keulen,Wegwerkzaamheden over de grens,[Wegwerkzaamheden over de grens 270],[M06],M06,Wegwerkzaamheden over de grens,Over de grens,Andere wegbeheerder,Overige oorzaken
2789479,10/16/2020,10/16/2020,9:31:00,10:02:04,"111,433","3,586,910","31,067","160,9","158,9",A,2,A2,oplopend,Batadorp,De Hogt,Eindhoven,Maastricht-Noord,Incident (met opruim/berging),"[Geen oorzaakcode opgegeven door VWM 0], [Onwelwording 18], [Opruimingswerkzaamheden 13], [Geen oorzaakcode opgegeven door VWM 0]","[000], [M02], [OCL], [000]",INS,Incident(en),Incident,Incident,Incident
2789410,10/15/2020,10/15/2020,16:18:00,16:22:05,"8,167","2,000,000","4,083","78,8","76,8",A,15,A15,oplopend,Alblasserdam,Papendrecht,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 4],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789205,10/14/2020,10/14/2020,9:49:00,10:06:44,"44,350","2,500,940","17,733","79,2","77,2",A,1,A1,oplopend,Kootwijk,Hoenderloo,Amersfoort,Apeldoorn,Defecte vrachtwagen (met opruim/berging),"[Geen oorzaakcode opgegeven door VWM 0], [Defecte vrachtwagen(s) 3], [Opruimingswerkzaamheden 14], [Eerder pechgeval 0], [Geen oorzaakcode opgegeven door VWM 0]","[000], [HBD], [OCL], [M13], [000]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2789377,10/15/2020,10/15/2020,13:16:00,13:17:05,"2,167","2,000,000","1,083","228,1","226,1",A,2,A2,oplopend,Echt,Roosteren,Eindhoven,Maastricht-Noord,File buiten spits (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],3,File buiten spits (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789636,10/16/2020,10/16/2020,18:00:00,18:04:05,"12,250","3,000,000","4,083","27,7","30,7",A,58,A58,aflopend,Brug Over Het Wilhelminakanaal Hm 20.7,Oirschot,Breda,Eindhoven,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 4],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789199,10/14/2020,10/14/2020,9:20:00,9:29:46,"19,533","2,000,000","9,767","49,6","47,6",A,67,A67,oplopend,Asten,Liessel,Eindhoven,Venlo,Brandend(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 1], [Brandend(e) voertuig(en) 9]","[000], [VFR]",VFR,Brandend(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2789522,10/16/2020,10/16/2020,13:31:00,13:36:04,"10,133","2,000,000","5,067","78,4","80,4",A,27,A27,aflopend,Utrecht-De Uithof,Lunetten,Utrecht,Gorinchem,File buiten spits (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],3,File buiten spits (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789279,10/14/2020,10/14/2020,16:42:00,16:49:06,"16,267","2,291,080","7,100","39,5","42,5",A,27,A27,aflopend,Noordeloos,Gorinchem,Almere,Breda,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 7],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789492,10/16/2020,10/16/2020,10:50:00,10:51:34,"3,133","2,000,000","1,567","31,2","29,2",A,27,A27,oplopend,Nieuwendijk,Werkendam,Breda,Gorinchem,Brugopening,"[Geen oorzaakcode opgegeven door VWM 1], [Brugopening 1], [Geen oorzaakcode opgegeven door VWM 0]","[000], [N73], [000]",N73,Brugopening,Brugopening,Blokkade,Hoge intensiteit
2789432,10/15/2020,10/15/2020,17:51:00,18:09:59,"37,967","2,000,000","18,983","79,6","81,6",A,27,A27,aflopend,De Bilt,Rijnsweerd,Utrecht,Gorinchem,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 18], [Eerder pechgeval 0]","[000], [HBD], [M13]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2789366,10/15/2020,10/15/2020,11:43:00,14:02:44,"765,400","5,477,576","139,733","87,5","85,5",A,15,A15,oplopend,Sliedrecht-Oost,Hardinxveld-Giessendam,Ridderkerk,Gorinchem,Defecte vrachtwagen(s),"[Defecte vrachtwagen(s) 103], [Eerder pechgeval 37]","[HBD], [M13]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2789291,10/14/2020,10/14/2020,17:16:00,18:02:32,"134,650","2,893,625","46,533","6,6","8,6",N,36,N36,aflopend,Brug Over Het Kanaal Almelo-De Haandrik,Wierden-Noord,Dedemsvaart,Almelo,Ongeval(len),[Ongeval(len) 47],[ACI],ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2789624,10/16/2020,10/16/2020,17:19:00,17:29:04,"21,117","2,097,682","10,067","46,6","44,6",A,9,A9,oplopend,Rottepolderplein,Brug Over Het Zijkanaal C,Amstelveen,Alkmaar,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 10],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789403,10/15/2020,10/15/2020,16:06:00,16:17:38,"30,800","2,647,565","11,633","82,3","80,3",A,15,A15,oplopend,Sliedrecht-West,Sliedrecht-Oost,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 12],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789257,10/14/2020,10/14/2020,16:14:00,17:12:32,"207,750","3,549,260","58,533","168,6","165,6",A,2,A2,oplopend,De Hogt,Leenderheide,Eindhoven,Maastricht-Noord,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 53], [Geen oorzaakcode opgegeven door VWM 5]","[000], [HBD], [000]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2789626,10/16/2020,10/16/2020,17:24:00,17:26:05,"4,167","2,000,000","2,083","29,2","27,2",A,28,A28,oplopend,Hoevelaken,Amersfoort-Vathorst,Amersfoort,Zwolle,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 2],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789634,10/16/2020,10/16/2020,17:39:00,17:40:04,"2,133","2,000,000","1,067","26,1","24,1",N,325,N325,oplopend,Westervoort,Presikhaaf,Arnhem,Arnhem Velperbroek,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789485,10/16/2020,10/16/2020,10:13:00,10:35:49,"89,817","3,936,450","22,817","121,7","125,7",A,12,A12,aflopend,Waterberg,Grijsoord,Arnhem,Utrecht,Defecte vrachtwagen (met opruim/berging),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 8], [Opruimingswerkzaamheden 5], [Eerder pechgeval 9]","[000], [HBD], [OCL], [M13]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2789544,10/16/2020,10/16/2020,15:18:00,18:09:50,"427,800","2,489,622","171,833","21,6","19,6",A,44,A44,oplopend,Leiden-Zuid,Wassenaar,Amsterdam,Den Haag,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 172],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789547,10/16/2020,10/16/2020,15:25:00,15:50:07,"52,267","2,080,956","25,117","81,1","79,1",A,15,A15,oplopend,Papendrecht,Sliedrecht-West,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 25],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789677,10/17/2020,10/17/2020,11:43:00,12:33:45,"215,183","4,240,066","50,750","201,6","193,0",A,2,A2,oplopend,Nederweert,Kelpen-Oler,Eindhoven,Maastricht-Noord,Geschaarde aanhanger(s),"[Geen oorzaakcode opgegeven door VWM 1], [Geschaarde aanhanger(s) 50]","[000], [AJT]",AJT,Geschaarde aanhanger(s),Ongeval,Ongeval,Ongeval
2789603,10/16/2020,10/16/2020,16:41:00,17:16:42,"102,067","2,859,010","35,700","247,8","249,8",N,50,N50,aflopend,Kampen,Kampen-Zuid,Emmeloord,Zwolle,Afremmend verkeer als gevolg van kijkers naar  ongeval(len),[Afremmend verkeer als gevolg van kijkers naar  ongeval(len) 36],[YDO],YDO,Afremmend verkeer als gevolg van kijkers naar  ongeval(len),Kijkfile,Ongeval,Ongeval
2789338,10/15/2020,10/15/2020,7:39:00,7:54:36,"33,550","2,150,641","15,600","155,3","153,3",A,58,A58,oplopend,Heinkenszand,Stelleplas,Bergen op Zoom,Vlissingen,Ongeval(len),"[Ongeval(len) 3], [Eerder(e) ongeval(len) 12]","[ACI], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2789198,10/14/2020,10/14/2020,9:14:00,9:19:54,"17,700","3,000,000","5,900","51,0","48,0",A,67,A67,oplopend,Liessel,Helden,Eindhoven,Venlo,Brandend(e) voertuig(en),[Brandend(e) voertuig(en) 6],[VFR],VFR,Brandend(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
