NLSitNummer,DatumFileBegin,DatumFileEind,TijdFileBegin,TijdFileEind,FileZwaarte,GemLengte,FileDuur,HectometerKop,HectometerStaart,RouteLet,RouteNum,RouteOms,hectometreringsrichting,KopWegvakVan,KopWegvakNaar,TrajVan,TrajNaar,OorzaakGronddetail,OorzaakVerloop,OorzaakCodeVerloop,OorzaakCode,Oorzaak_1,Oorzaak_2,Oorzaak_3,Oorzaak_4
2788268,10/6/2020,10/6/2020,8:49:00,9:07:37,"92,150","4,949,866","18,617","99,8","102,8",A,27,A27,aflopend,Huizen,Eemnes,Almere,Utrecht,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 0], [Defecte vrachtwagen(s) 18]","[000], [HBD]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2788370,10/6/2020,10/6/2020,19:08:00,19:09:04,"2,133","2,000,000","1,067","13,3","11,3",A,29,A29,oplopend,Heinenoordtunnel,Oud-Beijerland,Rotterdam,Sabina,Spoedreparatie,"[Geen oorzaakcode opgegeven door VWM 1], [Spoedreparatie 0]","[000], [N32]",N32,Spoedreparatie,Spoedreparatie,Spoedreparatie,Ongepland onderhoud
2788636,10/8/2020,10/8/2020,17:03:00,17:04:06,"2,200","2,000,000","1,100","82,9","80,9",A,15,A15,oplopend,Sliedrecht-West,Sliedrecht-Oost,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788492,10/7/2020,10/7/2020,17:22:00,17:26:03,"12,150","3,000,000","4,050","22,5","19,5",A,16,A16,oplopend,Van Brienenoordbrug,Rotterdam-Feijenoord,Rotterdam,Breda,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 4],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788579,10/8/2020,10/8/2020,14:26:00,14:27:05,"2,167","2,000,000","1,083","20,8","18,8",A,10,A10,oplopend,Schinkelbrug,De Nieuwe Meer,Amstel,Coenplein,File buiten spits (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],3,File buiten spits (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788820,10/9/2020,10/9/2020,17:02:00,18:01:47,"221,083","3,698,076","59,783","79,6","76,6",A,15,A15,oplopend,Papendrecht,Sliedrecht-West,Ridderkerk,Gorinchem,Ongeval(len),"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 41], [Geen oorzaakcode opgegeven door VWM 18]","[000], [ACI], [000]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2788629,10/8/2020,10/8/2020,16:44:00,16:48:07,"8,233","2,000,000","4,117","34,8","36,8",A,27,A27,aflopend,Industrieterrein Avelingen,Merwedebrug,Gorinchem,Breda,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 4],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788652,10/8/2020,10/8/2020,17:28:00,17:44:28,"32,933","2,000,000","16,467","22,7","24,7",A,12,A12,aflopend,Zevenhuizen,Bleiswijk,Utrecht,Den Haag,Defect(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 1], [Defect(e) voertuig(en) 16]","[000], [BKD]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2788617,10/8/2020,10/8/2020,16:34:00,16:38:05,"8,167","2,000,000","4,083","52,4","50,4",A,4,A4,oplopend,Rijswijk,Den Haag-Zuid,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 4],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788895,10/10/2020,10/10/2020,14:22:00,14:40:03,"36,100","2,000,000","18,050","25,6","23,6",A,20,A20,oplopend,Schiedam-Noord,Schiedam,Hoek van Holland,Gouda,Ongeval(len),"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 9], [Eerder(e) ongeval(len) 7]","[000], [ACI], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
